trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,Instruction.started,text.started,Instruction.stopped,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,0,20,-1,,,,,,,,,,,,,,,
,,,,,,,,,1,21,1.5,,,,,,,,,,,,,,,
,,,,,,,,,0,22,1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,23,2,,,,,,,,,,,,,,,
,,,,,,,,,1,24,2,,,,,,,,,,,,,,,
,,,,,,,,,1,25,-2,,,,,,,,,,,,,,,
,,,,,,,,,1,26,1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,27,1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,28,1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,29,-1,,,,,,,,,,,,,,,
,,,,,,,,,1,30,1,,,,,,,,,,,,,,,
,,,,,,,,,1,31,1,,,,,,,,,,,,,,,
,,,,,,,,,0,32,1,,,,,,,,,,,,,,,
,,,,,,,,,1,33,-1.5,,,,,,,,,,,,,,,
,,,,,,,,,0,34,1.5,,,,,,,,,,,,,,,
,,,,,,,,,0,35,2,,,,,,,,,,,,,,,
,,,,,,,,,1,36,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,37,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,38,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,39,-2,,,,,,,,,,,,,,,
,,,,,,,,,1,40,-2,,,,,,,,,,,,,,,
,,,,,,,,,1,41,2,,,,,,,,,,,,,,,
,,,,,,,,,1,42,1.5,,,,,,,,,,,,,,,
,,,,,,,,,0,43,-1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,44,2,,,,,,,,,,,,,,,
,,,,,,,,,1,45,2,,,,,,,,,,,,,,,
,,,,,,,,,0,46,2,,,,,,,,,,,,,,,
,,,,,,,,,0,47,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,48,3,,,,,,,,,,,,,,,
,,,,,,,,,1,49,3,,,,,,,,,,,,,,,
,,,,,,,,,1,50,-3,,,,,,,,,,,,,,,
,,,,,,,,,1,51,-2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,52,2.5,,,,,,,,,,,,,,,
,,,,,,,,,0,53,-2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,54,-3,,,,,,,,,,,,,,,
,,,,,,,,,1,55,-3,,,,,,,,,,,,,,,
,,,,,,,,,1,56,3,,,,,,,,,,,,,,,
,,,,,,,,,1,57,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,58,-2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,59,-2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,60,-2,,,,,,,,,,,,,,,
,,,,,,,,,1,61,-2,,,,,,,,,,,,,,,
,,,,,,,,,1,62,2,,,,,,,,,,,,,,,
,,,,,,,,,1,63,-1.5,,,,,,,,,,,,,,,
,,,,,,,,,0,64,1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,65,-2,,,,,,,,,,,,,,,
,,,,,,,,,1,66,-2,,,,,,,,,,,,,,,
,,,,,,,,,1,67,2,,,,,,,,,,,,,,,
,,,,,,,,,1,68,-1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,69,1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,70,-1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,71,-1,,,,,,,,,,,,,,,
,,,,,,,,,1,72,-1,,,,,,,,,,,,,,,
,,,,,,,,,0,73,1,,,,,,,,,,,,,,,
,,,,,,,,,1,74,1.5,,,,,,,,,,,,,,,
,,,,,,,,,0,75,1.5,,,,,,,,,,,,,,,
,,,,,,,,,1,76,2,,,,,,,,,,,,,,,
,,,,,,,,,0,77,2,,,,,,,,,,,,,,,
,,,,,,,,,0,78,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,79,-3,,,,,,,,,,,,,,,
,,,,,,,,,1,80,3,,,,,,,,,,,,,,,
,,,,,,,,,1,81,3,,,,,,,,,,,,,,,
,,,,,,,,,0,82,-2.5,,,,,,,,,,,,,,,
,,,,,,,,,0,83,-3,,,,,,,,,,,,,,,
,,,,,,,,,1,84,3.5,,,,,,,,,,,,,,,
,,,,,,,,,1,85,-3.5,,,,,,,,,,,,,,,
,,,,,,,,,1,86,3.5,,,,,,,,,,,,,,,
,,,,,,,,,1,87,3,,,,,,,,,,,,,,,
,,,,,,,,,1,88,3,,,,,,,,,,,,,,,
,,,,,,,,,1,89,3,,,,,,,,,,,,,,,
,,,,,,,,,1,90,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,91,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,92,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,93,2,,,,,,,,,,,,,,,
,,,,,,,,,1,94,2,,,,,,,,,,,,,,,
,,,,,,,,,0,95,2,,,,,,,,,,,,,,,
,,,,,,,,,1,96,2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,97,-2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,98,-2.5,,,,,,,,,,,,,,,
,,,,,,,,,1,99,-2,,,,,,,,,,,,,,,
