0,5,1.8066794,['Target'],475266,,,MeanRT participant 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2.1644698,['Target'],475266,,,MeanRT participant 2,,,,5 distractors,10 distractors,total data set,,,,,,,,,,,,,,,,trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,participant,,2,10,1.4460495,['Target'],475266
34,10,1.9724163,['Target'],475266,,,,,,,,,,,27,10,1.5228549,['Target'],475266,,,,,,,,,,64,5,1.6744153,['Target'],475266,,67,10,1.9418972,['Target'],475266
35,10,1.6510577,['Target'],475266,,,,,,,,,,,28,5,2.5317903,['Target'],475266,,,,,,,,,,65,5,2.2065094,['Target'],475266,,69,10,1.2054721,['Target'],475266
36,5,2.0657714,['Target'],475266,,,,,,,,,,,29,5,1.415054,['Target'],475266,,,,,,,,,,68,5,1.798123,['Target'],475266,,70,10,2.1392508,['Target'],475266
37,10,2.0121545,['Target'],475266,,,,,,,,,,,30,10,1.9540364,['Target'],475266,,,,,,,,,,74,5,1.923282,['Target'],475266,,71,10,1.4605878,['Target'],475266
38,10,4.1942254,['Target'],475266,,,,,,,,,,,31,10,2.0906294,['Target'],475266,,,,,,,,,,76,5,1.8364608,['Target'],475266,,72,10,2.0073265,['Target'],475266
39,10,3.4051257,['Target'],475266,,,,,,,,,,,32,10,3.473031,['Target'],475266,,,,,,,,,,79,5,2.1817953,['Target'],475266,,73,10,1.7881623,['Target'],475266
40,5,2.6654416,['Target'],475266,,,,,,,,,,,33,10,2.0760937,['Target'],475266,,,,,,,,,,82,5,1.9782833,['Target'],475266,,75,10,2.0496691,['Target'],475266
41,5,3.1327534,['Target'],475266,,,,,,,,,,,34,10,1.9724163,['Target'],475266,,,,,,,,,,83,5,2.2194583,['Target'],475266,,77,10,1.2403866,['Target'],475266
42,10,2.1713545,['Target'],475266,,,,,,,,,,,35,10,1.6510577,['Target'],475266,,,,,,,,,,85,5,1.6875384,['Target'],475266,,78,10,1.6715741,['Target'],475266
43,10,2.7105891,['Target'],475266,,,,,,,,,,,36,5,2.0657714,['Target'],475266,,,,,,,,,,87,5,2.6332916,['Target'],475266,,80,10,1.4271277,['Target'],475266
44,10,1.9221963,['Target'],475266,,,,,,,,,,,37,10,2.0121545,['Target'],475266,,,,,,,,,,88,5,1.3682601,['Target'],475266,,81,10,1.3766681,['Target'],475266
45,10,1.706548,['Target'],475266,,,,,,,,,,,38,10,4.1942254,['Target'],475266,,,,,,,,,,90,5,1.701173,['Target'],475266,,84,10,1.7702888,['Target'],475266
46,10,1.551792,['Target'],475266,,,,,,,,,,,39,10,3.4051257,['Target'],475266,,,,,,,,,,91,5,1.8116021,['Target'],475266,,86,10,1.6880499,['Target'],475266
47,5,1.9601115,['Target'],475266,,,,,,,,,,,40,5,2.6654416,['Target'],475266,,,,,,,,,,92,5,1.4724896,['Target'],475266,,89,10,1.4326576,['Target'],475266
48,5,1.6132992,['Target'],475266,,,,,,,,,,,41,5,3.1327534,['Target'],475266,,,,,,,,,,94,5,1.667313,['Target'],475266,,93,10,1.4517949,['Target'],475266
49,10,2.2046509,['Target'],475266,,,,,,,,,,,42,10,2.1713545,['Target'],475266,,,,,,,,,,96,5,1.3419365,['Target'],475266,,95,10,1.5703312,['Target'],475266
50,5,1.6381254,['Target'],475266,,,,,,,,,,,43,10,2.7105891,['Target'],475266,,,,,,,,,,97,5,2.2808901,['Target'],475266,,101,10,4.1647732,['Target'],475266
51,10,1.573573,['Target'],475266,,,,,,,,,,,44,10,1.9221963,['Target'],475266,,,,,,,,,,98,5,1.6945162,['Target'],475266,,102,10,1.8603829,['Target'],475266
52,10,2.3244789,['Target'],475266,,,,,,,,,,,45,10,1.706548,['Target'],475266,,,,,,,,,,99,5,1.3838565,['Target'],475266,,103,10,1.6744739,['Target'],475266
53,5,1.5827526,['Target'],475266,,,,,,,,,,,46,10,1.551792,['Target'],475266,,,,,,,,,,100,5,1.3980833,['Target'],475266,,104,10,2.3268281,['Target'],475266
54,5,1.4205737,['Target'],475266,,,,,,,,,,,47,5,1.9601115,['Target'],475266,,,,,,,,,,107,5,1.6484354,['Target'],475266,,105,10,2.3897361,['Target'],475266
55,5,1.7211283,['Target'],475266,,,,,,,,,,,48,5,1.6132992,['Target'],475266,,,,,,,,,,109,5,1.2366401,['Target'],475266,,106,10,1.573868,['Target'],475266
56,5,1.6487751,['Target'],475266,,,,,,,,,,,49,10,2.2046509,['Target'],475266,,,,,,,,,,112,5,2.0315325,['Target'],475266,,108,10,1.8087694,['Target'],475266
57,5,2.8276151,['Target'],475266,,,,,,,,,,,50,5,1.6381254,['Target'],475266,,,,,,,,,,113,5,1.4841894,['Target'],475266,,110,10,2.5714048,['Target'],475266
58,10,1.3532964,['Target'],475266,,,,,,,,,,,51,10,1.573573,['Target'],475266,,,,,,,,,,114,5,1.9003151,['Target'],475266,,111,10,2.9111072,['Target'],475266
59,10,1.0395967,['Target'],475266,,,,,,,,,,,52,10,2.3244789,['Target'],475266,,,,,,,,,,115,5,2.1542094,['Target'],475266,,116,10,1.5797427,['Target'],475266
60,5,1.3511159,['Target'],475266,,,,,,,,,,,53,5,1.5827526,['Target'],475266,,,,,,,,,,120,5,1.6991075,['Target'],475266,,117,10,2.0268696,['Target'],475266
61,5,1.4319481,['Target'],475266,,,,,,,,,,,54,5,1.4205737,['Target'],475266,,,,,,,,,,121,5,1.634462,['Target'],475266,,118,10,1.5238641,['Target'],475266
62,10,1.8763916,['Target'],475266,,,,,,,,,,,55,5,1.7211283,['Target'],475266,,,,,,,,,,123,5,1.9412058,['Target'],475266,,119,10,3.0770307,['Target'],475266
63,10,2.4153722,['Target'],475266,,,,,,,,,,,56,5,1.6487751,['Target'],475266,,,,,,,,,,125,5,1.7481883,['Target'],475266,,122,10,1.3941631,['Target'],475266
64,5,1.6744153,['Target'],475266,,,,,,,,,,,57,5,2.8276151,['Target'],475266,,,,,,,,,,128,5,1.5504787,['Target'],475266,,124,10,2.3052711,['Target'],475266
